,median_house_value
15281,-20946.358023880282
653,20278.316475381114
5077,34500.86228574696
1159,41744.29233543783
17428,48092.08392129399
4986,-5627.493497057454
8103,8303.701925877365
5139,31370.991785791295
4608,-177263.89225438217
20299,46181.27447709069
11045,-61693.016514095594
20414,51788.424257319915
19976,131830.7734883321
17813,-2959.3370037457207
8715,-57256.442202480626
2940,9112.914176963415
16608,-757.0040926883812
3718,11938.189936170442
9360,-45568.44280839787
13497,9952.525983239277
12218,-23447.40893328545
9616,10704.946521546124
12149,72450.07062486224
12896,-11919.042604092305
13581,6412.011159989939
19824,-53730.9524364736
18617,-25292.946139425214
5340,-71229.1350799044
12036,5756.350242407003
1551,10427.6871325369
13852,-10964.747657807195
16621,-38297.96438554471
6341,24409.72159347977
1045,-8314.29531864381
15091,-14180.826087467023
8163,37712.306994920946
11915,44882.47352278279
1397,-3727.521928389353
9456,38319.80551284262
19333,-2931.1463764305227
10625,25274.74073089531
6172,-4053.629512254498
8854,-16951.074061362073
9247,9381.455346883304
20001,-4676.1735107842105
9650,-59412.60200574079
12569,4086.351258030467
17391,54324.547522741486
20119,-65080.22230242986
7452,-10854.226731695468
1168,14077.036335371144
10278,-57320.49682073272
17838,-49073.062620479264
12638,9933.444191550108
2240,59514.769069188886
8790,38706.2686219567
10483,15676.951032356767
7886,-73242.45518595981
5437,-87525.75209188508
19227,-4542.614886795753
9866,58294.56795429671
16636,-85701.24906383874
9224,23456.72014954459
684,-10704.938289412123
12378,13889.62295125451
16487,9211.680252734237
13062,38215.20731420239
19488,-19648.787884740857
207,-14943.281307434678
16145,-154583.94219247042
10737,-140008.03033598838
20617,38956.71087696728
14685,78022.70581486082
6729,-29620.0434364698
1678,48320.04919610382
1010,-20660.36492142646
2843,13523.499546725856
17641,53569.28514932725
12979,27130.40184586757
2712,-15763.343438973374
10967,-3215.1645671624865
8429,-18131.282223511604
14743,-4717.262402920052
2753,-3147.8325466006645
13560,1743.7936648216855
10039,-19485.29315261163
14181,19271.035021024436
10105,52402.35091975506
3003,9345.17549869696
20189,20673.237529113132
6687,-82366.30970800054
18885,51354.5068277205
6343,36966.17286845134
7646,16808.51756983847
16316,-561.424087405976
20041,22076.02309486398
18706,5054.858178900497
20068,-12371.885070453747
4243,-18998.312397398055
7794,-12344.883816276822
15379,-111665.86807217667
19890,18566.246215876818
13366,285114.19590971706
3912,25879.047763483366
10883,-14139.627534116851
10569,57733.57491053478
8551,-44829.03687275341
6683,-56718.07820617716
9997,-1681.4597249602957
4169,71695.99986989226
20020,9542.051587917813
13537,48665.52716466732
6347,-29822.801080842153
12455,-23563.985848517594
13380,10527.076169555832
6894,-6912.8841156732815
3158,45096.38363109104
8454,-21697.249607913633
3324,54031.326637028455
9849,12964.100468591118
3398,44700.83139896247
18061,15680.650726247579
5392,-21975.811990083952
14010,-147846.15680367884
2130,3709.0431335324683
13985,13360.122830178036
16631,20249.05539779758
7145,-10367.68224554736
12209,-197638.27420282463
14957,27239.217898329603
10707,198670.3581373099
1121,4148.9115079881885
5787,-1098.719579722674
19190,13112.942631662823
8033,-84305.41326609839
6083,1506.12504868611
10450,-84085.15964775893
17436,55740.73708888088
17088,-71298.01518607311
491,-170061.8686585594
6888,-32216.93293677774
2530,11315.225031763635
2470,2464.2846337943483
5617,-54036.05561080092
17182,62206.61845664127
8438,-9194.929094161838
4990,2198.901200449269
10831,38428.92880764854
5475,-67742.05752394837
1765,86548.3075647114
13334,-48969.77233830912
7048,-13853.990512561693
7510,59511.57916715782
12204,16030.470242733543
8913,-48716.15663119481
15769,64686.04179260234
851,-38520.31816955106
9037,-25319.022371142404
6058,1081.3663143011509
3975,19585.001275916817
12797,11741.239698861173
16758,38913.41157631914
9508,37295.30404026041
18293,-114266.06123500847
10542,-31993.722168961773
7893,-59791.72799158815
771,2263.8685276106116
6286,-2159.3653429586557
18198,-27805.839728359162
8530,-13412.398208489118
14284,-19193.12529138774
9733,10119.39945634018
6863,-72954.29390153929
4596,9.656502031430136
6785,-103250.04642931797
16230,-5374.601187917593
14389,80152.74627043767
13061,14612.264531257766
6260,-20435.916999006353
9872,51744.9497657631
20201,21073.659595337464
8489,19434.244360700104
20476,18716.51083709096
7419,-40501.55344506484
10821,-34502.9602904261
2590,9032.20135423151
12677,37037.06144388023
13507,24881.41748062089
20503,76221.89239825192
7681,22885.066773522733
3519,17959.18109460923
13198,3944.002188360915
14755,-14066.335773979255
3470,-13508.730982669571
20543,-66658.68457862316
12223,-6821.392987432104
17655,-5081.8260375924
638,-22689.1087140952
20230,-81496.8864152478
7568,48038.52509736386
13289,1342.9689536541118
11616,-175.26736805622932
6916,-47797.8158084841
11179,35238.70830050376
10238,21592.704363211466
6758,-26172.309009256773
19461,35407.29053124221
8444,-8406.357985542447
9763,-38212.34309079111
17073,-20641.131529235514
15047,-41926.55255550705
10998,-27967.36568847217
2727,2622.867964347475
3767,7384.220581846021
16721,-11404.630108948943
8340,65338.34363755572
16413,-39131.86935593274
16214,9982.976776741678
9236,-14089.748726824779
8931,-76806.81225416868
2591,11154.181623367782
12199,-20633.986311100394
3359,13961.106934281852
17261,57474.04051250318
2751,19715.270417596665
6755,51362.95832099544
19302,-19869.326274474413
4105,-36150.441305666
4977,30747.47040341032
12824,-6004.859351636114
14560,81096.7842394255
19106,19568.51926801697
6604,14869.678019426152
2549,7734.446708125004
4081,-81929.96494846733
3011,36814.83920124784
17094,-14987.218405050808
15,-3781.4234142809873
6961,45665.46080322945
10146,-81497.30505161363
12320,19467.28869304729
11143,58068.0347703016
18955,20019.119483556366
5193,28269.46774813038
20397,27995.370405539405
12825,21485.851345759234
7546,40393.811858275294
662,-45805.67595472824
18078,13597.834898861416
2619,23009.13983043634
3409,42612.26148212701
15338,-23087.216027949937
10468,19100.164830048685
3509,14058.909116904339
18819,41676.554214098665
19088,4314.07649567732
3261,65386.57689582894
13561,71976.18733327149
5238,23199.35786913248
13510,5825.511491003956
8188,-194038.30398668564
17448,63716.81755027751
19987,29679.842546402928
5380,-62093.72065382943
3270,-5079.415348875569
11487,6248.7867938081035
14047,730.5114389348892
13831,12750.24324695539
15834,-11977.977110831183
19451,2280.5336203301704
11423,-21432.855393422593
20169,2311.7181387142336
11093,7396.249822972517
16178,-31881.268721376662
19482,17632.153379062307
13802,9671.818838564417
1295,7972.572692547925
19172,30812.51732220195
4618,-67988.28663290234
2326,11582.446329482438
17542,-20233.71151888999
15092,9017.410976385203
19625,-607.6925454390293
9521,23394.09461013878
15610,-34118.96555630752
17177,-28231.958565818844
3619,-23999.85134366603
17347,-125922.16543660406
8465,6095.639673403319
9014,-288706.58247008116
5285,27601.0624154259
12249,-10732.923641871515
16539,-30348.953319868597
7156,21255.527065286908
10702,149396.50190239633
6676,-54276.381820615556
12820,258.88399807640235
1275,9834.073860553792
58,7149.436092705553
1316,13072.097985172586
17629,9037.491151537688
15659,-47719.4338622425
18491,-64935.01332990697
4686,72676.55391404696
17180,36039.87403811095
13277,15738.393392205238
4641,-113463.2979957241
14252,10220.16306997188
10767,-114517.628072171
15952,18021.202395948058
3885,70572.13442134723
19511,-9056.21849382366
4843,28332.730762655032
9659,4845.629010684206
7736,-17558.224817520415
10118,-19212.392074687523
19449,-17903.562004256528
8977,-61390.594502130756
15274,-192699.52759762816
9693,16508.873002510925
3198,-35798.31647131778
13851,-1681.4711330611608
11467,-38356.37115541208
7678,30425.01177262116
9782,48853.200214260374
7796,15302.594133666775
22,34103.355963938404
17031,19542.82827193773
4091,20198.456427296973
19416,-16377.08381568057
18744,8134.304799207399
16784,163944.454500367
19165,35766.56809501554
4197,17501.6735212646
17415,53278.569563832774
4943,-3590.6278102099022
15295,-32786.69716274325
16498,-45179.04288585346
14401,-126821.6255744356
9684,38612.93595656025
3591,-6498.734717399755
14301,-8474.413682194136
7150,4167.047147008998
15289,-3491.2543829010683
11311,24373.384406920057
9432,-2284.3655643712555
10320,-17689.162582619814
6191,-10056.907837293227
381,42111.93517837662
18601,145052.23815101746
7022,-28307.59370258433
7324,5401.676418675488
6219,38711.31305377191
13228,-62321.4966073641
4669,-2313.4077130511287
17841,-66172.62052135452
16054,17117.53156171873
2017,1981.6244474333362
9516,16858.985112705923
20289,34535.61752929803
1978,-6830.96797662726
2445,-14734.631621852895
3120,-1618.2912762719643
18939,22710.05354076592
17189,72284.96928943985
7812,5478.017724026577
15009,37459.690427424095
13504,10900.42426616211
12769,25611.42553615576
6779,-60374.68819187177
7760,25853.93594613258
16897,-137771.84858497797
14522,-19135.09838057577
9216,17323.820114171598
14462,-177262.62930537504
5840,-83313.9492835176
5591,8585.751405935327
11755,-47314.022890803986
9837,54462.75641327846
14529,1502.3467408135184
3796,1139.0000669662259
10129,62021.89743963102
12549,12909.264556332593
2912,15870.991232910019
19656,6053.163328693481
4678,487.5582155409502
6732,-29910.35324447078
15441,-69535.58452175258
3507,30920.28723820325
8789,-61893.41617954674
14711,42028.4848305856
13905,-4258.492847912799
10533,6146.485484376899
5333,-149724.81443259743
3054,3427.029220041033
17848,36568.069753469084
1886,3340.631387566449
1072,-34966.227308343456
5108,34826.47518740274
2261,16245.755100148395
10839,46266.01419067313
2263,10731.876292902103
11797,23884.63427373144
367,69926.54063690803
17316,-3807.4687627190433
14066,28402.263915302145
13122,-39447.052311915744
3845,41457.94848197259
10331,12270.8999795345
15190,3346.735702607257
6890,-13365.922266374226
11287,-8100.001182418433
8089,-10529.037835583993
14,32851.7226718844
6920,-208762.6894514924
4023,29282.41710206159
10066,317.19349088688614
7824,42658.512881273695
2589,-5485.5673915433
12343,6891.146398125478
19019,-95928.16779956507
23,40022.3892502581
1182,27051.410905523837
16208,9769.475451886858
10418,-236262.8952502773
2433,3581.4608643602696
4991,17001.099683049775
14965,-53880.018783145875
15523,53422.31075587214
11551,-13822.345864215516
8773,-15875.364990222966
18187,18258.1784545033
14697,21581.792841323244
6913,32793.02872064256
17203,46310.637331559206
12665,362.479725148587
7974,7586.55970465712
8289,-58897.540019413806
18795,-3014.3430484301934
15140,10040.415473655914
11377,-19000.739220654476
18357,17004.230143896886
19364,61571.006913649646
14959,3918.5040417431446
10555,-31646.394665720873
11175,30813.057332993223
308,82426.88471573088
7898,-68972.0355148511
9593,40764.20000922735
1688,79062.63544044038
9111,33967.629887334304
18301,-19349.739440746896
257,2325.5420696183137
4367,58201.93699702853
2461,4578.167650104253
3536,32702.445354671974
18406,-1175.5200728878262
20625,48502.43988920648
16862,21572.173339106957
1980,-25968.246166798548
5803,-85081.27325351044
575,134685.26147578697
15590,39334.20551410844
11298,-19444.540500217525
8835,-95546.09146208363
4173,-26437.59259698623
15656,-9809.918461184425
18091,-132971.49555364862
16444,-2426.1942164561624
2443,15.021826006821357
16699,-10508.997221285332
12136,275.6449652060983
2014,2488.250632394833
5728,-9304.717938941321
19457,-22032.32345145088
2186,-3378.572126580868
15663,-131041.77580410545
8365,83394.44109099128
2391,5834.14556301132
10108,62846.932851285615
8546,-46895.079198657564
15825,-81294.26104662335
953,27051.542996837525
19429,-56462.91343175253
6447,-186965.9959213113
10727,-10661.22725111345
16898,-115443.95218441263
2535,25930.532623911145
10534,42119.00563682424
4422,-85179.76489243109
14002,-4646.804298542062
16679,75145.9611813947
18317,-94498.89077800588
5388,192165.504344956
19806,-27800.94634410963
13478,24080.628792176853
12362,27596.212016192527
9685,53191.80227099918
4262,147192.5268076572
4019,33359.09001978068
19059,-89988.70234540902
6721,40066.100361453486
7345,-12701.78329479709
14057,50110.247671509685
5916,57037.13646644409
7340,-19678.317933697923
13417,-23122.607299290365
3632,20098.228985362308
11840,17191.54689147287
19567,-12052.556157069703
19360,39116.32569523214
17412,119841.79612016093
19198,23389.061827847792
12104,117042.02666370908
2484,22892.981036449346
14170,36252.75056927209
6443,-81137.3142006833
2605,-65315.39557035112
4118,-29248.96117751015
5671,-91699.55851618972
1924,-9676.068956171468
11836,-33327.6083959087
6012,25464.893089096644
4570,63703.3215715352
5005,77230.88184931432
1721,2326.672456983535
10852,67558.05027874914
14479,12697.350697784277
18985,119874.46645487627
12171,42025.99290819981
4030,51708.1689904806
11425,-27590.484251716378
15797,147204.8948073975
17085,-8893.299318004341
19825,-17304.673909635676
6665,-26116.701371926465
12673,10395.010205466548
14937,-72658.98801400009
3232,-14841.937146917611
2005,7674.195289120893
4106,60409.32261536468
4122,17788.013043663726
11240,24146.427058297268
20176,26990.947871810233
17761,-315.15910662701936
19005,-76927.39164205495
3196,18711.576533301486
125,14738.213577662711
4763,48145.287319699564
15657,-28876.602643965714
9425,-10807.939774084138
16648,-55490.38015802603
8591,-71496.36287725161
12432,-32562.091168850427
19496,-19510.345969005066
16006,-17629.525486728468
16272,-16106.71583732238
12544,-20793.527876410313
15650,-739.1601491909532
8142,21874.622677853476
8265,95899.33802668203
4870,9162.740952620166
13636,8514.80422373784
15330,-18250.1756345224
10387,-74169.5122085961
16726,14482.782140093972
12302,10577.666700800837
17181,1943.8803079243517
9669,8090.658449760434
16492,-70745.33348640583
10665,-101477.7367502799
4864,72441.99292635272
10590,-18983.714933499286
3165,22737.108112476213
20523,-1173.848124516633
6749,-47383.45329271574
12726,15919.716757433518
16923,-7963.3209458096535
10963,50924.726164919324
2075,2307.5692540040764
8319,26870.73747240106
10254,47347.849101424596
9091,-33572.3155024173
7248,-5958.70795281051
343,35879.25399987656
3676,-453.37885423915577
15587,-16413.92391132246
3142,8379.644022040287
3815,-11170.43561685938
10557,12334.804360453389
15328,16225.340767128277
16215,18008.186041382447
15194,-22332.260245900252
13192,-14412.771795694498
801,39203.04912714401
690,2003.9181022206612
19642,-77272.71586854903
15666,-185400.04170726432
14476,-46389.77005204436
10612,-13731.768818502082
17705,63941.86633903117
7326,16675.730390478566
387,-19588.26976157498
7292,22943.00859451265
4303,-53192.777774362214
6568,6633.541739916807
14370,-233487.4813965289
12072,16729.280111025117
13227,7735.912513555217
9820,35224.26938595838
19803,59496.69914311243
6902,8084.8326619539
2106,7660.897537669196
7176,32740.64947492082
730,34659.22029419322
9089,12558.49828033548
8520,19940.06497768979
1766,25533.433951356914
4513,17803.451923034416
8616,-21965.076630491647
16828,217218.3469330946
15647,-127934.41167728353
18868,27757.69629862078
1643,-53650.59168106988
10518,-160897.89276010665
15498,125359.13929634937
12999,-69970.00111039286
10615,-44361.1871028255
19768,8352.470627357427
1926,49594.3859544959
17567,-17330.50463567642
14846,9851.291614099144
15075,4901.835651984671
16595,-106603.62784710052
20151,-60810.58770322814
15763,-128928.21709978522
18114,-39190.65340534953
13164,-74162.57457906066
13586,5103.590651738894
15182,2898.1470971512026
1048,-15560.133483760743
12958,-31888.492822378175
11338,-19256.549291204923
16586,-38452.190263856435
13145,43932.786979196244
74,43905.12286716499
761,19784.93834428917
16155,-45919.6474831854
1228,16833.46727072232
6662,-17812.86403089293
13806,2643.814483209775
14367,30646.59789707529
8038,-66887.09124199173
7081,43312.876139411645
8402,-2607.901591060363
7310,2674.8263232731842
17564,58601.03796904697
5909,20947.388377025374
11821,-37348.216519849724
3330,-18967.694242537298
1636,23666.793971184
12695,11196.180730958586
14336,-141709.07613645872
10866,-26338.62870961867
19411,-38960.493176987104
19679,11527.97600525571
9218,14080.664047345344
17872,11352.459154144162
5892,27475.14968671382
11282,43157.86913889559
17672,137935.82897002573
13702,20067.28282838437
11139,7769.2793460100365
15658,144766.38697587512
11721,7972.679232237977
4877,5181.786770519888
19984,9025.006370460818
16704,-45883.6358751955
14765,-16503.87350488924
4146,62054.10595975915
14575,-154004.2204536684
5498,-65100.10730526975
2327,22677.711500962658
5296,-68355.08212309063
11150,7746.1720496960625
3210,12133.563226948521
5273,6064.539372406609
6231,3239.1134762364672
13647,15136.742870908187
16741,17410.907364993414
18150,-12864.259094332054
12941,-90563.11148860713
3816,-7676.856436087372
4299,31516.805334687553
18975,10745.86437357268
10994,-12255.197319630242
10990,-31968.76121639533
11413,28895.32055558369
2662,-2230.220289537261
8708,-19556.043127760873
20458,18465.74473248291
470,6610.191665691615
2492,-11159.199917394682
6484,-46357.28810016948
11238,-11020.094888912136
1910,16286.924739942784
12867,29575.62368098412
9719,27129.261967834842
13716,7284.204285723405
3260,40970.24553332718
2060,2599.7907798665547
5035,40978.219026148
6562,58508.32687882462
14590,17528.1973691248
3900,-44795.23882142236
11397,-18496.283824628714
8858,-151916.293781462
2321,-29821.069191057584
10223,2296.4721483040776
15490,46393.001498057914
12458,-137088.33859623087
167,-21552.412607610982
7381,6354.700238471909
650,-33385.97231744495
6365,-61325.290646608046
19084,21504.097099066683
9138,-92152.75353795779
4185,37207.07215597175
14294,10353.049951088033
2917,47279.35651780502
15623,6146.957874306885
16048,13350.596942573116
7665,55946.7468672338
17694,24513.074739572185
9845,24312.626479861443
6349,-37219.624506978376
16458,22422.454094708897
4712,-21363.06057645532
5791,20583.25491941301
17206,-56383.38132017842
9735,57993.515926105436
14120,23204.101523079255
7182,-6584.314259956605
8538,-17775.325151299825
7038,13078.581503086374
9445,-245.38025105524866
10403,23747.80422836216
16306,-32053.027953188604
13502,12570.60158694879
8774,-202280.59998430224
14564,5689.631222118827
3462,11702.388771280268
18469,42382.397820182494
8367,32700.739344967267
1261,4719.362375267403
11482,-47791.84728430654
17677,45254.14621655943
10798,-216410.21926719788
2194,14657.710249936878
16893,7021.636985210993
10898,82539.06560872387
11319,-1901.4103943409864
9337,75421.52231028123
3056,22448.019945705164
10024,-13934.934253556945
6159,-4184.472989241069
10576,48185.34621928813
13343,19075.45003915191
1327,-54016.65844740068
6951,-27140.882227556605
5000,7335.150446274216
11086,49108.10306337671
19853,-4472.05014445672
16970,-65735.18373152975
9075,37186.722698868805
9965,-117724.53054467839
2459,-16721.193670496505
17069,3508.1035490012728
4697,-197719.71311446757
11649,-41141.80963332663
14950,8789.179438132967
9282,-56328.76198215358
5332,12533.500166800746
7500,32648.610312785255
13570,72428.6462717659
2386,-24488.12590235818
19214,-94206.15407868219
17837,-8175.848132997169
13937,16708.451691204275
16456,-14809.581127911748
17259,-63646.22281941594
2511,89918.55069751703
5527,29038.157052777533
19660,-15154.281241420365
15821,-56736.377634219505
5086,37844.379340878935
7648,14466.531874906825
14971,4731.425874056178
161,15201.258788808685
8574,64566.871126182494
8710,-40544.327086620906
1744,9509.792486873324
3770,-25161.489321021596
8485,32992.95937963421
13067,-27949.49622442288
15245,-95973.43989821756
16863,421.4175650841498
14627,46696.520264816965
5488,-45813.52214606566
14701,25690.121808482247
12736,-66299.40924494341
3952,3791.876595549169
10184,52945.33736826602
18011,-6407.614458233118
14989,11968.035927050747
6695,-33898.30418977802
9395,-140978.99305432354
13683,-4593.124122360459
3939,-8409.121101332828
7114,-33863.434417682205
11039,-97758.45550992852
11115,-12488.025464770326
9292,-9460.906094934006
2798,36677.70399618604
7192,-15875.937691777566
15723,-199061.06074914103
6136,-26378.77331627348
17291,26757.058286071755
19098,38963.45238508328
9930,-37734.68674575089
2266,12334.00997029066
3947,3831.538652491232
9405,45739.71884552034
7521,39005.73673317919
17631,-49219.29242730365
9618,-6282.232684787974
18651,10859.840079364018
14338,11115.800978242827
8217,7978.15005162757
14268,18412.800028633326
11099,-9789.240845823486
16773,35282.29324038775
6645,-25628.106027735907
10477,-18566.440408358932
12416,-6692.807037545223
2966,59664.88378441983
9546,9336.316135880319
16326,29571.84753496942
15329,54832.119405087054
7740,-22825.579285405227
6672,19381.46534372057
14122,34447.12671215962
19163,-1896.6508299010457
6849,-19919.15348016785
4935,-3385.872514939998
5677,-66944.15317831043
18767,8606.405231409852
14745,8126.887861924886
8924,-187708.5534472667
11507,-105616.21014639962
19973,-15451.75788838233
14353,40163.37689489531
809,110394.70132541854
13712,-15567.883872757258
13951,72726.33041405931
14274,17399.065140058286
15752,-111697.30384088913
7390,33312.51926383874
2975,87721.8254259619
20228,57699.9789848607
4905,-17958.25570268868
18339,-56794.74416820594
14787,26004.218052265205
3219,125.68137587474484
15662,-97573.0245693312
12756,-8281.325496592544
8610,-2277.76580579218
8461,31457.437999301474
9024,-189190.83474071656
5933,-49293.48782323263
12452,-38392.91127888387
6691,-28387.818740135815
5988,-650.6748159855779
7516,55404.86069388289
20539,-7306.088922051393
1361,-9183.589246027026
18246,-150162.79809008882
14020,-21447.089304762485
3663,11436.291069692292
4989,-13329.39947132318
9613,14251.098081405245
9306,-18091.11438464484
14692,90944.6404127698
4757,21957.998588672257
17400,41270.27424142214
3588,-63266.60948489967
15013,35369.70188447123
18519,8551.849798224983
9293,-3129.0045216060826
4086,24328.370247150888
4148,5673.478491703805
16815,48798.67668572161
13978,22889.62462563906
18226,-110694.74993697269
17591,-58521.4716779181
19274,-131440.80477994942
9914,-13175.296751147194
6048,16179.26888565757
1498,18145.495789944078
20401,-23210.855142044835
9946,13874.617866350047
6845,-40586.81406020984
12953,-15833.863933353306
6824,-45349.879860089946
9260,8513.937165754149
8399,-15870.1190097027
15640,16146.347127091722
20497,49009.98121460428
14793,-20911.507864656858
15643,12858.776318613265
3066,8078.854496192071
3291,-27759.135882388044
5472,-66110.41242690664
13311,-18324.985998215212
10100,68649.38497818023
2710,13841.397457452083
6760,-61301.67779386346
11438,-90053.7347891138
3967,45690.550626653945
2817,26468.745173420495
2979,28022.35815818461
15772,-77926.0971445851
14511,-8769.238885162049
5913,23272.753913136577
3251,-136234.5853532867
2147,1968.5944271431363
5140,25499.72030479611
5350,-74453.04378657578
867,-28487.760237772716
20612,28517.78261351316
886,-19403.997164694534
9886,-61746.173624887044
7831,42665.90524400456
18145,-24140.294106537825
3520,32139.166707999364
14061,60190.15109273911
2851,27667.966358426682
18217,32297.583955184673
7608,62529.25757707824
2286,3051.325737240404
7282,1315.7285144356283
2884,966.2468083189742
3160,-35826.44323505336
8107,49431.543740251276
5809,-69039.11426368551
3250,17688.55962328537
6371,-12332.41821145115
16751,-12871.644878171792
12977,-10147.184197613387
7012,-108.78905328913243
15039,-9580.927954696497
905,-14157.327631944092
16403,-47758.70892594376
3893,41848.385099197796
15138,-17647.419153869472
262,10995.128920596966
15970,-3532.397198887629
799,82483.61954792548
5217,4919.395100526672
11571,-21109.946322154778
8989,-75166.00238570507
5175,62135.49291288527
12895,-50939.799145962286
301,106250.34822527712
17999,-31587.146185450867
11977,16997.53128998427
2592,10255.02871640725
12367,16929.80864557202
1034,1568.9816531920515
3747,-10026.21497759514
19293,12023.810931652843
9145,62126.38250685579
628,15574.164767775335
9206,12039.925048532023
17587,-31770.95849208889
15237,-166880.5984287595
2928,11354.138516780426
10489,-12425.668610398861
3118,15774.359154230624
5506,-240825.75361409018
15864,17527.259813440032
2225,54347.57360183139
16577,7962.099033485283
4179,7594.806239630008
14757,13285.081561492538
15482,7150.32650175388
6266,-11088.958698430157
9101,-27474.420124582917
3793,38387.83894033625
13954,44224.35377229174
18786,-24002.41488139605
12555,4971.765047063382
6796,-24658.607531103364
3668,-11503.128059991112
12833,6037.716377130957
9468,13952.506047957446
10527,24728.549836820865
12534,-61679.57102323405
14392,-23496.192774385883
7656,60828.98874903924
11406,-70174.74365481854
14394,-6609.831400437455
16336,-27941.34497760242
12055,-13188.88266713859
14550,-21498.396008473705
19690,18903.393053398177
11222,-21724.95136798991
18982,28744.78166733618
3859,20726.292498237337
10151,-89329.30004604868
9332,28050.864604904258
2475,35654.910665810516
11286,12009.43599073874
11620,-23614.62970722653
16263,11452.519866782386
9675,-110414.18551069335
19704,22763.213579716714
14073,2738.5881076396618
15131,-3209.589528546174
20445,21759.36156448355
15785,-120348.36240760694
14374,-84538.35743646498
16635,-35496.634927635954
11426,-20714.800086781586
523,-66710.34636587265
12876,18862.5870051768
9375,14520.977968285908
19657,-8263.49098924153
8510,-21117.991464120394
9040,63045.53430544186
3077,18485.925126860922
5841,-34088.97261115775
3882,-7994.804917666013
4267,-25245.99699719323
9773,73895.82270927596
7739,-22111.87195736752
11972,21678.04391171204
9399,4693.35587617592
19673,-19597.13112800075
4590,-1831.8913454957074
20307,28440.865352156747
18147,-68049.98319653736
466,25006.628951951396
7781,15551.844017993717
4067,-40396.22706036427
8900,28214.93381068972
14158,270.4557900078071
20501,-15909.986139030429
4520,6424.956923057907
1539,-74477.88477221853
10330,-6355.274375257373
12170,48879.363693836
126,137029.46841755882
2697,-18743.10553498863
6669,-10270.969609700842
13975,10176.814579951752
18311,-11576.171048271644
14412,-64031.55821004487
3837,-27728.13886000478
19534,-5745.673339132511
13674,1560.1999240001605
9643,-15002.617577152268
14975,-8809.373604554392
20587,1750.5751166451664
13842,7869.924249519972
12634,10592.908551805012
3622,33225.56907498694
6746,-29147.225016990473
10094,-14574.452115186374
6862,-59792.22222964725
20372,-167402.0927853463
12175,14186.747013812404
11102,-33913.836095295555
16371,2254.329902594516
6303,-675.2421259643743
14384,-104588.1559187859
2554,3863.7977598368307
7772,22570.483416715288
576,-25272.532017504214
19707,45231.81768234304
14312,15089.172639534736
15007,-64253.85292965008
10670,-43035.37792023376
14668,-13227.82450094592
4514,-21602.605808694672
1224,-7871.320492536644
7355,-3976.4111980653543
10541,-124657.50075108313
13837,11621.3930124717
3729,-92327.52143532893
17275,-14758.86861026485
15262,-1612.5384732653038
3445,-3711.249004429963
9033,64227.396222247975
374,28874.85991725573
19653,-6180.530629282584
5764,-33672.1500481969
19166,11571.983299177184
10332,-49391.69110928546
9273,-78251.97446298384
4750,2399.288971330505
2503,-6443.903660832235
10885,38493.261584633554
1193,20165.003155109254
6277,10729.253320492542
17406,67613.73425402571
14068,33406.65167709542
12105,21072.51784343447
6467,-49506.1547499618
8077,-84085.78715436993
13490,11119.439051942318
16250,15315.180567228992
2513,2895.907499316527
8894,8647.839033853379
10507,-10354.00601667707
3275,37331.84296372293
1892,-19559.361694718333
16525,-3454.886705763696
